name,category,sub_category,price,themes
Bluetooth Speaker,Tech,Audio,39.99,"[""Tech-savvy"", ""Design-focused""]"
XL Twin Sheet Set,Dorm,Bedding,29.99,"[""Budget-minded"", ""Climate-conscious""]"
Laptop Stand,Tech,Accessories,45.0,"[""Tech-savvy""]"
Shower Caddy,Dorm,Bath,12.99,"[""Budget-minded""]"
Organic Snacks Pack,Health and Wellness,Snacks,19.99,"[""Climate-conscious""]"
Notebook Set,Course Materials,Stationery,9.99,"[""Budget-minded""]"
LED Desk Lamp,Dorm,Lighting,24.99,"[""Design-focused""]"
Noise Cancelling Headphones,Tech,Audio,89.99,"[""Tech-savvy""]"
Vitamin C Supplements,Health and Wellness,Supplements,14.99,"[""Health-conscious""]"
Fleece Blanket,Dorm,Bedding,19.99,"[""Climate-conscious"", ""Budget-minded""]"
